编号,学校,题目,作者,年份,学位与方向,主题,与星迹智绘相关度,材料等级,来源性质,来源链接,交叉核对来源,本地材料,全文状态,研究框架（摘要归纳）,论文框架（公开目录）,核实限制
TJ01,同济大学,同地VR中面向联合行动的虚拟移动设计研究,赵茁栋,2025（页面年份）,交互设计方向；工程硕士（导师主页标注）,VR协作,中,B1 公开摘要与目录,导师主页链接的实验室公开页面；非学校论文全文库,https://www.daelab.cn/dis_zhaozhuodong_2025/,https://tongji.teacher.360eol.com/teacherBasic/preview?jump=1&teacherId=15500,公开摘要目录/dis_zhaozhuodong_2025.txt,未取得全文PDF,联合行动理论与相关研究 → 分析多人移动和活动区域 → 提取设计要素 → 构建设计框架及系统 → 用户测试。,第1章 绪论 → 第2章 研究综述 → 第3章 多人移动中的联合行动模式分析 → 第4章 同地VR活动区域设计要素提取 → 第5章 面向联合行动的虚拟移动系统设计框架 → 第6章 面向联合行动的虚拟移动系统设计与实现 → 第7章 面向联合行动的虚拟移动系统的用户测试 → 第8章 总结与展望,目录第五章的部分小节出现游戏类型、干预模块等措辞，与主题衔接不清；章级结构可参考，小节应以原论文核实。
TJ02,同济大学,基于生成式智能体的焦虑缓释严肃游戏设计研究,李佳乐,2025（页面年份）,交互设计方向；工程硕士（导师主页标注）,生成式智能体／严肃游戏,高,B1 公开摘要与目录,导师主页链接的实验室公开页面；非学校论文全文库,https://www.daelab.cn/dis_lijiale_2025/,https://tongji.teacher.360eol.com/teacherBasic/preview?jump=1&teacherId=15500,公开摘要目录/dis_lijiale_2025.txt,未取得全文PDF,相关理论与设计策略 → CBT游戏机制 → 生成式智能体系统 → 应用开发及迭代 → 组间对比实验。,第1章 引言 → 第2章 设计策略 → 第3章 CBT游戏设计 → 第4章 智能体系统实现 → 第5章 应用开发及迭代 → 第6章 用户实验 → 第7章 结论与展望,未获取全文，不能核查实验统计与效应大小。
TJ03,同济大学,癌症患儿健康干预严肃游戏设计研究——以白血病患儿的饮食健康管理严肃游戏为例,简雯,2025（页面年份）,交互设计方向；工程硕士（导师主页标注）,参与式设计／严肃游戏,高,B1 公开摘要与目录,导师主页链接的实验室公开页面；非学校论文全文库,https://www.daelab.cn/dis_jianwen_2025/,https://tongji.teacher.360eol.com/teacherBasic/preview?jump=1&teacherId=15500,公开摘要目录/dis_jianwen_2025.txt,未取得全文PDF,文献与访谈 → 用户需求和初步方案 → 前测识别认知边界 → 参与式工作坊 → 游戏设计 → 评估验证。,第1章 绪论 → 第2章 癌症患儿健康干预与严肃游戏相关理论与研究 → 第3章 用户研究与初步方案构建 → 第4章 前测实验：认知能力边界测量与设计原则提炼 → 第5章 参与式设计工作坊 → 第6章 癌症患儿饮食管理严肃游戏设计实践 → 第7章 设计评估与验证 → 第8章 总结与展望,健康干预的评价指标不能直接移植到绘画辅助。
TJ04,同济大学,以研究时间感知如何影响决策过程为目的的严肃游戏设计,Buerger Maria Emilie,2025（页面年份）,媒体与传达方向；双学位项目，学位名称待封面核实,游戏作为研究工具,中,B1 公开摘要与目录,导师主页链接的实验室公开页面；非学校论文全文库,https://www.daelab.cn/dis_maria_2025/,https://tongji.teacher.360eol.com/teacherBasic/preview?jump=1&teacherId=15500,公开摘要目录/dis_maria_2025.txt,未取得全文PDF,时间感知与决策研究 → 构建实体与AR结合的游戏 → 设置体验情境 → 观察决策与开展实验 → 讨论。,Chapter 1 Introduction → Chapter 2 Literature Review → Chapter 3 Design → Chapter 4 Experiment → Chapter 5 Conclusion and Outlook,公开目录为英文；不同合作院校页面的英文题名存在措辞差异，正式引用需核对学位封面。
TJ05,同济大学,鸟瞰视角VR游戏交互界面设计研究——以RTT游戏为例,周静娱,2025（页面年份）,交互设计方向；工程硕士（导师主页标注）,交互界面／对比实验,最高,B1 公开摘要与目录,导师主页链接的实验室公开页面；非学校论文全文库,https://www.daelab.cn/dis_zhoujingyu_2025/,https://tongji.teacher.360eol.com/teacherBasic/preview?jump=1&teacherId=15500,公开摘要目录/dis_zhoujingyu_2025.txt,未取得全文PDF,文献与设计原则 → 制作两种交互界面 → 预实验与迭代 → 被试内对比实验 → 定量、定性分析。,第1章 引言 → 第2章 鸟瞰视角VR游戏交互界面设计原则 → 第3章 实验材料交互界面设计与开发 → 第4章 预实验及鸟瞰视角VR交互界面设计迭代 → 第5章 鸟瞰视角VR游戏交互界面实验研究 → 第6章 结论与展望,摘要和目录支持研究组织方式，具体实验细节仍需全文。
TJ06,同济大学,游戏化虚拟展馆体验设计研究,陈星珲,2024（页面年份）,媒体与传达方向；工程硕士（导师主页标注）,体验设计／游戏化,高,B1 公开摘要与目录,导师主页链接的实验室公开页面；非学校论文全文库,https://www.daelab.cn/dis_chenxinghui_2024/,https://tongji.teacher.360eol.com/teacherBasic/preview?jump=1&teacherId=15500,公开摘要目录/dis_chenxinghui_2024.txt,未取得全文PDF,体验与游戏化理论 → 建立展馆体验策略 → 虚拟展馆设计实践 → 用户体验测试。,第1章 引言 → 第2章 虚拟展馆的相关研究概述 → 第3章 游戏化虚拟展馆体验设计策略 → 第4章 游戏化虚拟展馆体验设计实践 → 第5章 游戏化虚拟展馆体验设计的用户测试 → 第6章 总结与展望,未读取完整量表与原始结果，不据摘要认定全部体验维度改善。
TJ07,同济大学,VR场景下间接虚拟屏幕的多点触控交互设计研究,张慕财,2024（页面年份）,交互设计方向；工程硕士（导师主页标注）,多点触控／原型验证,最高,B1 公开摘要与目录,导师主页链接的实验室公开页面；非学校论文全文库,https://www.daelab.cn/dis_zhangmucai_2024/,https://tongji.teacher.360eol.com/teacherBasic/preview?jump=1&teacherId=15500,公开摘要目录/dis_zhangmucai_2024.txt,未取得全文PDF,相关理论 → 初步效率与准确度对比 → 发现多点手势问题 → 提炼设计原则 → 开发原型 → 再次对比测试。,第1章 引言 → 第2章 VR基础交互设计理论研究 → 第3章 间接虚拟屏幕交互效率与准确度的对比实验 → 第4章 VR环境中间接多点触控的交互设计原则 → 第5章 VR间接多点触控的设计实践 → 第6章 设计原型的对比实验 → 第7章 结论与展望,前测并非所有指标都理想，不能将研究概括为技术天然优越。
TJ08,同济大学,面向公众环境教育的严肃游戏设计——以城市野生动物与人的关系为议题,古坷懿,2024（页面年份）,媒体与传达方向；工程硕士（导师主页标注）,环境教育／说服性游戏,中,B1 公开摘要与目录,导师主页链接的实验室公开页面；非学校论文全文库,https://www.daelab.cn/dis_gukeyi_2024/,https://tongji.teacher.360eol.com/teacherBasic/preview?jump=1&teacherId=15500,公开摘要目录/dis_gukeyi_2024.txt,未取得全文PDF,说服性游戏与环境教育研究 → 界定人与城市野生动物的议题 → 转化为设计策略 → 游戏设计实践。,第1章 绪论 → 第2章 严肃游戏与公众说服 → 第3章 面向环境教育的严肃游戏 → 第4章 城市野生动物与人的关系问题初探 → 第5章 以城市野生动物为议题的严肃游戏设计实践 → 第6章 总结与展望,未发现明确对照实验信息，不补写样本、量表或实验结果。
TJ09,同济大学,VR交互叙事语境下的引导线索设计研究,贺蒽堂,2023（页面年份）,交互设计方向；工程硕士（导师主页标注）,引导线索／注意与自主性,最高,B2 摘要；目录错配,导师主页链接的实验室公开页面；非学校论文全文库,https://www.daelab.cn/dis_heentang_2023/,https://tongji.teacher.360eol.com/teacherBasic/preview?jump=1&teacherId=15500,公开摘要目录/dis_heentang_2023.txt,未取得全文PDF,认知信息加工相关研究 → 建立引导线索设计思路 → 叙事作品原型 → 选取片段 → 组间实验评价。,不可采用：公开目录错配,重要异常：网页目录与题目、摘要不匹配。本报告不将其当作真实论文框架；仅依据摘要归纳研究链条。
TJ10,同济大学,服务于第二语言文化认知的VR教育游戏设计研究——以对外汉语教育游戏为例,罗珍,2023（页面年份）,媒体与传达方向；工程硕士（导师主页标注）,教育游戏／用户研究,高,B1 公开摘要与目录,导师主页链接的实验室公开页面；非学校论文全文库,https://www.daelab.cn/dis_luozhen_2023/,https://tongji.teacher.360eol.com/teacherBasic/preview?jump=1&teacherId=15500,公开摘要目录/dis_luozhen_2023.txt,未取得全文PDF,文献与已有应用研究 → 问卷、访谈及用户反馈 → 人物画像与需求 → 教育游戏设计 → 测试评估。,第1章 绪论 → 第2章 VR汉语教育游戏相关研究基础 → 第3章 服务于文化认知的VR汉语教育游戏的用户研究 → 第4章 服务于文化认知的VR汉语教育游戏的设计实践 → 第5章 VR汉语教育游戏的测试与评估 → 第6章 结论与展望,不能把短期使用体验直接当作长期学习效果。
TJ11,同济大学,基于视觉注意机制的战斗机下视显示界面布局设计研究,李林键,2023（页面年份）,交互设计方向；工程硕士（导师主页标注）,视觉注意／界面布局,中,B1 公开摘要与目录,导师主页链接的实验室公开页面；非学校论文全文库,https://www.daelab.cn/dis_lilinjian_2023/,https://tongji.teacher.360eol.com/teacherBasic/preview?jump=1&teacherId=15500,公开摘要目录/dis_lilinjian_2023.txt,未取得全文PDF,视觉注意理论 → 界面布局原则 → 场景化界面方案 → 模拟系统实验 → 行为、负荷与访谈分析。,第1章 引言 → 第2章 战斗机下视显示界面设计与视觉注意机制基础理论概述 → 第3章 基于视觉注意机制的下视显示界面布局设计原则 → 第4 章战斗机下视显示界面布局设计应用 → 第5章 战斗机下视显示界面布局实验研究 → 第6章 结论与展望,与绘画场景距离较远；不作为题材或具体界面内容的直接范本。
TJ12,同济大学,用于对外汉语学习的AR情景抽认卡设计研究,Nicolo’ Azzolin（尼克；导师主页署名）,2023（页面年份）,交互设计方向；双学位项目，学位名称待封面核实,移动AR／教育应用,最高,B1 公开摘要与目录,导师主页链接的实验室公开页面；非学校论文全文库,https://www.daelab.cn/dis_nicolos_2023/,https://tongji.teacher.360eol.com/teacherBasic/preview?jump=1&teacherId=15500,公开摘要目录/dis_nicolos_2023.txt,未取得全文PDF,学习与情境记忆研究 → 抽认卡使用调研 → 移动AR及图像识别方案 → 启发式、专家与学习者评价。,CHAPTER 1 INTRODUCTION → CHAPTER 2 LITERATURE REVIEW → CHAPTER 3 METHODOLOGY → CHAPTER 4 RESULTS → CHAPTER 5 DISCUSSION AND INTERPRETATION → CHAPTER 6 DESIGN AND DEVELOPMENT → CHAPTER 7 CONCLUSIONS AND LIMITATIONS,不将动机或可用性评价等同于已经证明学习成绩提高。
